#,Date Time (GMT-05:00),Temperature,Energy Produced(Wh),Energy Produced(kWh)
1,2016-07-29 10:26:34,72.86,,
2,2016-07-29 11:26:34,73.92,,
3,2016-07-29 12:26:34,73.98,,
4,2016-07-29 13:26:34,74.86,,
5,2016-07-29 14:26:34,75.34,,
6,2016-07-29 15:26:34,76.75,,
7,2016-07-29 16:26:34,77.95,,
8,2016-07-29 17:26:34,75.16,,
9,2016-07-29 18:26:34,74.30,,
10,2016-07-29 19:26:34,73.89,,
11,2016-07-29 20:26:34,74.23,,
12,2016-07-29 21:26:34,73.53,,
13,2016-07-29 22:26:34,73.27,,
14,2016-07-29 23:26:34,73.45,9468,9.468
15,2016-07-30 00:26:34,72.30,,
16,2016-07-30 01:26:34,72.70,,
17,2016-07-30 02:26:34,72.82,,
18,2016-07-30 03:26:34,72.77,,
19,2016-07-30 04:26:34,72.61,,
20,2016-07-30 05:26:34,72.54,,
21,2016-07-30 06:26:34,72.18,,
22,2016-07-30 07:26:34,72.07,,
23,2016-07-30 08:26:34,71.82,,
24,2016-07-30 09:26:34,69.84,,
25,2016-07-30 10:26:34,73.09,,
26,2016-07-30 11:26:34,77.43,,
27,2016-07-30 12:26:34,82.18,,
28,2016-07-30 13:26:34,85.08,,
29,2016-07-30 14:26:34,87.33,,
30,2016-07-30 15:26:34,84.78,,
31,2016-07-30 16:26:34,88.74,,
32,2016-07-30 17:26:34,86.99,,
33,2016-07-30 18:26:34,88.02,,
34,2016-07-30 19:26:34,86.16,,
35,2016-07-30 20:26:34,86.09,,
36,2016-07-30 21:26:34,85.33,,
37,2016-07-30 22:26:34,84.70,,
38,2016-07-30 23:26:34,85.87,12062,12.062
39,2016-07-31 00:26:34,85.48,,
40,2016-07-31 01:26:34,85.53,,
41,2016-07-31 02:26:34,84.40,,
42,2016-07-31 03:26:34,81.61,,
43,2016-07-31 04:26:34,84.16,,
44,2016-07-31 05:26:34,84.07,,
45,2016-07-31 06:26:34,84.13,,
46,2016-07-31 07:26:34,84.69,,
47,2016-07-31 08:26:34,84.72,,
48,2016-07-31 09:26:34,82.47,,
49,2016-07-31 10:26:34,79.97,,
50,2016-07-31 11:26:34,82.04,,
51,2016-07-31 12:26:34,87.01,,
52,2016-07-31 13:26:34,89.19,,
53,2016-07-31 14:26:34,101.30,,
54,2016-07-31 15:26:34,98.24,,
55,2016-07-31 16:26:34,104.63,,
56,2016-07-31 17:26:34,105.06,,
57,2016-07-31 18:26:34,106.12,,
58,2016-07-31 19:26:34,102.79,,
59,2016-07-31 20:26:34,100.56,,
60,2016-07-31 21:26:34,86.13,,
61,2016-07-31 22:26:34,76.57,,
62,2016-07-31 23:26:34,76.05,10220,10.22
63,2016-08-01 00:26:34,75.74,,
64,2016-08-01 01:26:34,75.45,,
65,2016-08-01 02:26:34,75.29,,
66,2016-08-01 03:26:34,75.15,,
67,2016-08-01 04:26:34,74.98,,
68,2016-08-01 05:26:34,74.86,,
69,2016-08-01 06:26:34,74.91,,
70,2016-08-01 07:26:34,74.89,,
71,2016-08-01 08:26:34,74.50,,
72,2016-08-01 09:26:34,72.73,,
73,2016-08-01 10:26:34,75.34,,
74,2016-08-01 11:26:34,79.59,,
75,2016-08-01 12:26:34,84.40,,
76,2016-08-01 13:26:34,88.97,,
77,2016-08-01 14:26:34,92.16,,
78,2016-08-01 15:26:34,94.30,,
79,2016-08-01 16:26:34,95.74,,
80,2016-08-01 17:26:34,99.86,,
81,2016-08-01 18:26:34,96.48,,
82,2016-08-01 19:26:34,95.34,,
83,2016-08-01 20:26:34,96.67,,
84,2016-08-01 21:26:34,94.71,,
85,2016-08-01 22:26:34,95.36,,
86,2016-08-01 23:26:34,95.94,7711,7.711
87,2016-08-02 00:26:34,93.58,,
88,2016-08-02 01:26:34,93.07,,
89,2016-08-02 02:26:34,92.77,,
90,2016-08-02 03:26:34,92.84,,
91,2016-08-02 04:26:34,96.51,,
92,2016-08-02 05:26:34,92.53,,
93,2016-08-02 06:26:34,91.02,,
94,2016-08-02 07:26:34,93.09,,
95,2016-08-02 08:26:34,88.45,,
96,2016-08-02 09:26:34,77.47,,
97,2016-08-02 10:26:34,78.51,,
98,2016-08-02 11:26:34,78.93,,
99,2016-08-02 12:26:34,80.76,,
100,2016-08-02 13:26:34,81.77,,
101,2016-08-02 14:26:34,83.41,,
102,2016-08-02 15:26:34,87.66,,
103,2016-08-02 16:26:34,91.04,,
104,2016-08-02 17:26:34,95.41,,
